Node 1,Node 2,Weight,Count 1,Count 2
"chuang, yw","zhou, l",1,1,9
"li, ym","yang, r",1,2,3
"li, ym","zhang, wy",1,2,4
"li, ym","wang, xy",1,2,19
"chen, xy","li, ym",1,6,2
"guan, h","li, ym",1,1,2
"li, ym","lian, j",1,2,2
"hong, py","li, ym",1,1,2
"bates, dw","li, ym",1,1,2
"li, ym","zhou, l",1,2,9
"yang, r","zhang, wy",1,3,4
"wang, xy","yang, r",1,19,3
"chen, xy","yang, r",1,6,3
"guan, h","yang, r",1,1,3
"lian, j","yang, r",1,2,3
"hong, py","yang, r",1,1,3
"bates, dw","yang, r",1,1,3
"yang, r","zhou, l",1,3,9
"wang, xy","zhang, wy",1,19,4
"chen, xy","zhang, wy",1,6,4
"guan, h","zhang, wy",1,1,4
"lian, j","zhang, wy",1,2,4
"hong, py","zhang, wy",1,1,4
"bates, dw","zhang, wy",1,1,4
"zhang, wy","zhou, l",1,4,9
"chen, xy","wang, xy",1,6,19
"guan, h","wang, xy",1,1,19
"lian, j","wang, xy",1,2,19
"hong, py","wang, xy",1,1,19
"bates, dw","wang, xy",1,1,19
"wang, xy","zhou, l",1,19,9
"chen, xy","guan, h",1,6,1
"chen, xy","lian, j",1,6,2
"chen, xy","hong, py",1,6,1
"bates, dw","chen, xy",1,1,6
"chen, xy","zhou, l",1,6,9
"guan, h","lian, j",1,1,2
"guan, h","hong, py",1,1,1
"bates, dw","guan, h",1,1,1
"guan, h","zhou, l",1,1,9
"hong, py","lian, j",1,1,2
"bates, dw","lian, j",1,1,2
"lian, j","zhou, l",1,2,9
"bates, dw","hong, py",1,1,1
"hong, py","zhou, l",1,1,9
"bates, dw","zhou, l",1,1,9
"palermo, g","pindi, c",1,1,1
"christodoulou, rc","papageorgiou, ps",3,4,3
"christodoulou, rc","pereira, acl",1,4,1
"christodoulou, rc","solomou, ee",3,4,3
"christodoulou, rc","papageorgiou, sg",2,4,2
"christodoulou, rc","vassiliou, e",3,4,3
"christodoulou, rc","georgiou, mf",2,4,2
"papageorgiou, ps","pereira, acl",1,3,1
"papageorgiou, ps","solomou, ee",3,3,3
"papageorgiou, ps","papageorgiou, sg",2,3,2
"papageorgiou, ps","vassiliou, e",2,3,3
"georgiou, mf","papageorgiou, ps",2,2,3
"pereira, acl","solomou, ee",1,1,3
"papageorgiou, sg","pereira, acl",1,2,1
"pereira, acl","vassiliou, e",1,1,3
"georgiou, mf","pereira, acl",1,2,1
"papageorgiou, sg","solomou, ee",2,2,3
"solomou, ee","vassiliou, e",2,3,3
"georgiou, mf","solomou, ee",2,2,3
"papageorgiou, sg","vassiliou, e",2,2,3
"georgiou, mf","papageorgiou, sg",2,2,2
"georgiou, mf","vassiliou, e",2,2,3
"ding, hz","fei, yr",2,2,2
"fei, yr","tong, sy",1,2,2
"fei, yr","he, yb",2,2,3
"cai, wy","fei, yr",1,1,2
"ding, hz","tong, sy",1,2,2
"ding, hz","he, yb",2,2,3
"cai, wy","ding, hz",1,1,2
"he, yb","tong, sy",1,3,2
"cai, wy","tong, sy",1,1,2
"cai, wy","he, yb",1,1,3
"lin, xq","yang, yz",1,1,1
"lin, xq","ren, yc",1,1,1
"ren, yc","yang, yz",1,1,1
"hartsock, i","koutsoubis, n",1,1,1
"ahmed, s","hartsock, i",1,8,1
"hartsock, i","parker, n",1,1,2
"hartsock, i","schabath, mb",1,1,1
"araujo, c","hartsock, i",1,1,1
"hartsock, i","qayyum, a",1,1,1
"hartsock, i","lam, c",1,1,2
"gatenby, ra","hartsock, i",1,1,1
"hartsock, i","rasool, g",1,1,2
"ahmed, s","koutsoubis, n",1,8,1
"koutsoubis, n","parker, n",1,1,2
"koutsoubis, n","schabath, mb",1,1,1
"araujo, c","koutsoubis, n",1,1,1
"koutsoubis, n","qayyum, a",1,1,1
"koutsoubis, n","lam, c",1,1,2
"gatenby, ra","koutsoubis, n",1,1,1
"koutsoubis, n","rasool, g",1,1,2
"ahmed, s","parker, n",1,8,2
"ahmed, s","schabath, mb",1,8,1
"ahmed, s","araujo, c",1,8,1
"ahmed, s","qayyum, a",1,8,1
"ahmed, s","lam, c",1,8,2
"ahmed, s","gatenby, ra",1,8,1
"ahmed, s","rasool, g",1,8,2
"parker, n","schabath, mb",1,2,1
"araujo, c","parker, n",1,1,2
"parker, n","qayyum, a",1,2,1
"lam, c","parker, n",1,2,2
"gatenby, ra","parker, n",1,1,2
"parker, n","rasool, g",1,2,2
"araujo, c","schabath, mb",1,1,1
