Source,Target,Weight
Artificial Intelligence,Explainability,2
Artificial Intelligence,Healthcare,3
Artificial Intelligence,Medical,2
Artificial Intelligence,Medical AI,3
Artificial Intelligence,Machine,2
Artificial Intelligence,Machine Learning,2
